date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:07:58	327/327	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2027%20Jun%202018%2018:07:58%20GMT	http://designstream.co.in/robots.txt		(from )
18:08:11	50965/50965	---M--	200	added ('OK')	text/html	date:Mon,%2008%20May%202017%2023:21:56%20GMT	http://designstream.co.in/templates/html/job-express/	/home/najah/websites/fj/designstream.co.in/templates/html/job-express/index.html	(from )
18:08:17	7296/7296	---M--	200	added ('OK')	text/css	date:Fri,%2005%20May%202017%2019:39:06%20GMT	http://designstream.co.in/templates/html/job-express/assets/plugins/flexslider/flexslider.css	/home/najah/websites/fj/designstream.co.in/templates/html/job-express/assets/plugins/flexslider/flexslider.css	(from http://designstream.co.in/templates/html/job-express/)
18:08:19	31000/31000	---M--	200	added ('OK')	text/css	date:Thu,%2022%20Dec%202016%2022:50:34%20GMT	http://designstream.co.in/templates/html/job-express/assets/plugins/font-awesome/css/font-awesome.min.css	/home/najah/websites/fj/designstream.co.in/templates/html/job-express/assets/plugins/font-awesome/css/font-awesome.min.css	(from http://designstream.co.in/templates/html/job-express/)
18:08:21	16430/16430	---M--	200	added ('OK')	text/css	date:Sat,%2012%20Nov%202016%2000:10:20%20GMT	http://designstream.co.in/templates/html/job-express/assets/plugins/themify/themify-icons.css	/home/najah/websites/fj/designstream.co.in/templates/html/job-express/assets/plugins/themify/themify-icons.css	(from http://designstream.co.in/templates/html/job-express/)
18:08:23	121199/121199	---M--	200	added ('OK')	text/css	date:Wed,%2026%20Oct%202016%2018:24:46%20GMT	http://designstream.co.in/templates/html/job-express/assets/plugins/bootstrap/css/bootstrap.min.css	/home/najah/websites/fj/designstream.co.in/templates/html/job-express/assets/plugins/bootstrap/css/bootstrap.min.css	(from http://designstream.co.in/templates/html/job-express/)
18:08:23	4602/4602	---M--	200	added ('OK')	text/css	date:Mon,%2008%20May%202017%2023:26:04%20GMT	http://designstream.co.in/templates/html/job-express/assets/css/responsive.css	/home/najah/websites/fj/designstream.co.in/templates/html/job-express/assets/css/responsive.css	(from http://designstream.co.in/templates/html/job-express/)
18:08:23	28845/28845	---M--	200	added ('OK')	text/css	date:Tue,%2013%20Jun%202017%2023:11:32%20GMT	http://designstream.co.in/templates/html/job-express/assets/css/style.css	/home/najah/websites/fj/designstream.co.in/templates/html/job-express/assets/css/style.css	(from http://designstream.co.in/templates/html/job-express/)
18:08:25	2649/2649	---M--	200	added ('OK')	image/png	date:Wed,%2026%20Apr%202017%2018:25:40%20GMT	http://designstream.co.in/templates/html/job-express/assets/images/home/site-logo.png	/home/najah/websites/fj/designstream.co.in/templates/html/job-express/assets/images/home/site-logo.png	(from http://designstream.co.in/templates/html/job-express/)
18:08:25	2803/2803	---MC-	200	added ('OK')	text/css	date:Wed,%2027%20Jun%202018%2018:08:22%20GMT	https://fonts.googleapis.com/css?family=Roboto:100,100i,300,300i,400,400i,500,500i,700,700i,900,900i	/home/najah/websites/fj/fonts.googleapis.com/cssad13.css	(from http://designstream.co.in/templates/html/job-express/)
18:08:27	22407/22407	---M--	200	added ('OK')	text/html	date:Mon,%2008%20May%202017%2023:27:26%20GMT	http://designstream.co.in/templates/html/job-express/manage_application.html	/home/najah/websites/fj/designstream.co.in/templates/html/job-express/manage_application.html	(from http://designstream.co.in/templates/html/job-express/)
18:08:29	19584/19584	---M--	200	added ('OK')	text/html	date:Mon,%2008%20May%202017%2023:27:20%20GMT	http://designstream.co.in/templates/html/job-express/manage_job.html	/home/najah/websites/fj/designstream.co.in/templates/html/job-express/manage_job.html	(from http://designstream.co.in/templates/html/job-express/)
18:08:31	41414/41414	---M--	200	added ('OK')	text/html	date:Mon,%2008%20May%202017%2023:27:36%20GMT	http://designstream.co.in/templates/html/job-express/job_listing.html	/home/najah/websites/fj/designstream.co.in/templates/html/job-express/job_listing.html	(from http://designstream.co.in/templates/html/job-express/)
18:08:33	50965/50965	---M--	200	added ('OK')	text/html	date:Mon,%2008%20May%202017%2023:21:56%20GMT	http://designstream.co.in/templates/html/job-express/index.html	/home/najah/websites/fj/designstream.co.in/templates/html/job-express/index-2.html	(from http://designstream.co.in/templates/html/job-express/)
18:08:33	26517/26517	---M--	200	added ('OK')	text/html	date:Mon,%2008%20May%202017%2023:27:42%20GMT	http://designstream.co.in/templates/html/job-express/job.html	/home/najah/websites/fj/designstream.co.in/templates/html/job-express/job.html	(from http://designstream.co.in/templates/html/job-express/)
18:08:35	20481/20481	---M--	200	added ('OK')	text/html	date:Mon,%2008%20May%202017%2023:28:02%20GMT	http://designstream.co.in/templates/html/job-express/employe_detail.html	/home/najah/websites/fj/designstream.co.in/templates/html/job-express/employe_detail.html	(from http://designstream.co.in/templates/html/job-express/)
18:08:39	29158/29158	---M--	200	added ('OK')	text/html	date:Mon,%2008%20May%202017%2023:27:14%20GMT	http://designstream.co.in/templates/html/job-express/post.html	/home/najah/websites/fj/designstream.co.in/templates/html/job-express/post.html	(from http://designstream.co.in/templates/html/job-express/)
18:08:41	47489/47489	---M--	200	added ('OK')	text/html	date:Mon,%2008%20May%202017%2023:26:46%20GMT	http://designstream.co.in/templates/html/job-express/candidates.html	/home/najah/websites/fj/designstream.co.in/templates/html/job-express/candidates.html	(from http://designstream.co.in/templates/html/job-express/)
18:08:43	35409/35409	---M--	200	added ('OK')	text/html	date:Mon,%2008%20May%202017%2023:27:02%20GMT	http://designstream.co.in/templates/html/job-express/resume.html	/home/najah/websites/fj/designstream.co.in/templates/html/job-express/resume.html	(from http://designstream.co.in/templates/html/job-express/)
18:08:45	25838/25838	---M--	200	added ('OK')	text/html	date:Mon,%2008%20May%202017%2023:26:50%20GMT	http://designstream.co.in/templates/html/job-express/about.html	/home/najah/websites/fj/designstream.co.in/templates/html/job-express/about.html	(from http://designstream.co.in/templates/html/job-express/)
